95,2048,4,0.0258455
96,2048,4,0.0258905
97,2048,4,0.0259063
98,2048,4,0.0259194
99,2048,4,0.0226808
0,4096,4,0.011782
1,4096,4,0.0130212
2,4096,4,0.0188446
3,4096,4,0.0253446
4,4096,4,0.0258856
5,4096,4,0.0259108
6,4096,4,0.0259133
7,4096,4,0.0259053
8,4096,4,0.0258954
9,4096,4,0.0256386
10,4096,4,0.0256217
11,4096,4,0.0256106
12,4096,4,0.0256364
13,4096,4,0.0258819
14,4096,4,0.0258834
15,4096,4,0.0259282
16,4096,4,0.0258968
17,4096,4,0.0258808
18,4096,4,0.0258807
19,4096,4,0.0259178
20,4096,4,0.0258968
21,4096,4,0.0259252
22,4096,4,0.0258981
23,4096,4,0.0231753
24,4096,4,0.0260052
25,4096,4,0.0258774
26,4096,4,0.0263776
27,4096,4,0.0261111
28,4096,4,0.0261278
29,4096,4,0.0258833
30,4096,4,0.0258844
31,4096,4,0.0258988
32,4096,4,0.0258965
33,4096,4,0.0259099
34,4096,4,0.025904
35,4096,4,0.0259058
36,4096,4,0.0258869
37,4096,4,0.0256438
38,4096,4,0.0256363
39,4096,4,0.0254013
40,4096,4,0.0253769
41,4096,4,0.0256365
42,4096,4,0.0256668
43,4096,4,0.0258795
