66,128,4,8.19147e-05
67,128,4,7.81578e-05
68,128,4,7.17158e-05
69,128,4,7.1513e-05
70,128,4,7.1951e-05
71,128,4,7.73564e-05
72,128,4,8.01894e-05
73,128,4,8.16695e-05
74,128,4,7.70206e-05
75,128,4,9.11271e-05
76,128,4,0.000117202
77,128,4,0.000128936
78,128,4,0.000124709
79,128,4,0.000110233
80,128,4,0.000103964
81,128,4,0.000100046
82,128,4,9.52219e-05
83,128,4,9.68904e-05
84,128,4,9.45157e-05
85,128,4,0.000109743
86,128,4,0.000100738
87,128,4,0.00010354
88,128,4,7.68001e-05
89,128,4,9.28305e-05
90,128,4,8.05475e-05
91,128,4,8.02618e-05
92,128,4,6.16342e-05
93,128,4,7.37396e-05
94,128,4,8.45024e-05
95,128,4,9.55909e-05
96,128,4,9.29784e-05
97,128,4,9.59339e-05
98,128,4,9.71011e-05
99,128,4,0.000107891
0,256,4,0.0105446
1,256,4,0.0132471
2,256,4,0.022468
3,256,4,0.0182247
4,256,4,0.0225051
5,256,4,0.0222491
6,256,4,0.026495
7,256,4,0.0247455
8,256,4,0.0247426
9,256,4,0.0207547
10,256,4,0.02
11,256,4,0.0174957
12,256,4,0.0192548
13,256,4,0.0197497
14,256,4,0.0199951
15,256,4,0.0220057
16,256,4,0.0257492
17,256,4,0.0275029
18,256,4,0.0262531
19,256,4,0.019748
20,256,4,0.0207456
21,256,4,0.0182495
22,256,4,0.0225049
23,256,4,0.0222507
24,256,4,0.0264956
25,256,4,0.0239952
26,256,4,0.0215045
27,256,4,0.0217538
28,256,4,0.0240002
29,256,4,0.0264951
30,256,4,0.0244968
31,256,4,0.0242543
32,256,4,0.0242544
33,256,4,0.0240003
34,256,4,0.0237434
35,256,4,0.0219961
36,256,4,0.0244993
37,256,4,0.0207536
38,256,4,0.0225005
39,256,4,0.0182495
40,256,4,0.0225003
41,256,4,0.0185002
42,256,4,0.0227497
43,256,4,0.018501
44,256,4,0.0227558
45,256,4,0.018505
46,256,4,0.0249872
47,256,4,0.0287724
48,256,4,0.0321498
49,256,4,0.0270342
50,256,4,0.0187199
51,256,4,0.0175042
52,256,4,0.0195956
53,256,4,0.0199999
54,256,4,0.0201422
55,256,4,0.0202522
56,256,4,0.0225
57,256,4,0.0244908
58,256,4,0.0269977
59,256,4,0.0225028
60,256,4,0.0207495
61,256,4,0.0177467
62,256,4,0.02025
63,256,4,0.0222542
64,256,4,0.0245051
65,256,4,0.0264947
66,256,4,0.0244955
67,256,4,0.0242544
68,256,4,0.0245056
69,256,4,0.0264949
70,256,4,0.0244935
71,256,4,0.024255
72,256,4,0.0245043
73,256,4,0.0264957
74,256,4,0.0239968
75,256,4,0.021754
76,256,4,0.02
77,256,4,0.0206895
78,256,4,0.0148719
79,256,4,0.00816809
80,256,4,0.00288582
81,256,4,0.00014028
82,256,4,0.000102068
83,256,4,9.4326e-05
84,256,4,9.14882e-05
85,256,4,9.19262e-05
86,256,4,7.62115e-05
87,256,4,8.24712e-05
88,256,4,8.0189e-05
89,256,4,9.77295e-05
90,256,4,9.40976e-05
91,256,4,9.8221e-05
92,256,4,8.80638e-05
93,256,4,8.56745e-05
94,256,4,0.00010094
95,256,4,0.000101034
96,256,4,0.000119974
97,256,4,0.000104164
98,256,4,0.000101532
99,256,4,8.59101e-05
0,512,4,0.0278986
1,512,4,0.0330232
2,512,4,0.0272094
3,512,4,0.0241881
4,512,4,0.0274851
5,512,4,0.0293962
6,512,4,0.0398901
7,512,4,0.0312474
8,512,4,0.0327505
9,512,4,0.0411859
10,512,4,0.0280049
11,512,4,0.0208908
12,512,4,0.0324955
13,512,4,0.0275035
14,512,4,0.0271138
15,512,4,0.0218355
16,512,4,0.0116152
17,512,4,0.000147542
18,512,4,0.000185177
19,512,4,0.000128768
20,512,4,0.000144794
21,512,4,0.000141658
22,512,4,0.000126066
23,512,4,0.000111641
24,512,4,0.000111318
25,512,4,9.95889e-05
26,512,4,8.86975e-05
27,512,4,8.80768e-05
28,512,4,9.97635e-05
29,512,4,0.000107308
30,512,4,0.000107308
31,512,4,9.4384e-05
32,512,4,8.24134e-05
33,512,4,7.8494e-05
34,512,4,9.34673e-05
35,512,4,0.000106141
36,512,4,0.00010565
37,512,4,0.000101975
38,512,4,9.77749e-05
39,512,4,8.75327e-05
40,512,4,7.54376e-05
41,512,4,0.000100377
42,512,4,0.000112032
43,512,4,0.000123696
44,512,4,0.000100422
45,512,4,9.94557e-05
46,512,4,9.86012e-05
47,512,4,9.75823e-05
48,512,4,9.81381e-05
49,512,4,8.97346e-05
50,512,4,9.49292e-05
51,512,4,8.40891e-05
52,512,4,8.207e-05
53,512,4,6.67865e-05
54,512,4,6.51453e-05
55,512,4,6.42743e-05
56,512,4,6.44464e-05
57,512,4,6.51181e-05
58,512,4,6.51053e-05
59,512,4,6.48226e-05
60,512,4,7.86062e-05
61,512,4,8.05049e-05
62,512,4,8.48926e-05
63,512,4,9.12424e-05
64,512,4,0.000102263
65,512,4,0.000108069
66,512,4,9.74217e-05
67,512,4,9.39353e-05
68,512,4,8.73632e-05
69,512,4,8.76107e-05
70,512,4,8.7989e-05
71,512,4,9.33136e-05
72,512,4,9.32862e-05
73,512,4,0.00010835
74,512,4,0.000115135
75,512,4,0.000118364
76,512,4,0.000106093
77,512,4,0.000102797
78,512,4,0.000101485
79,512,4,9.28759e-05
80,512,4,8.40966e-05
81,512,4,8.29869e-05
82,512,4,0.000110777
83,512,4,0.0001229
84,512,4,0.000123911
85,512,4,0.000112012
86,512,4,0.000135697
87,512,4,0.000158034
88,512,4,0.000158341
89,512,4,0.000118501
90,512,4,0.00010535
91,512,4,8.23482e-05
92,512,4,0.000105865
93,512,4,0.000118559
94,512,4,0.000114625
95,512,4,9.97863e-05
96,512,4,9.93079e-05
97,512,4,0.000102576
98,512,4,0.000100783
99,512,4,9.58012e-05
0,1024,4,0.000502323
1,1024,4,0.00627465
2,1024,4,0.0113136
3,1024,4,0.00433367
4,1024,4,0.0112191
5,1024,4,0.00973486
6,1024,4,0.00341022
7,1024,4,0.00972496
8,1024,4,0.00961568
9,1024,4,0.0033565
10,1024,4,0.00971302
11,1024,4,0.00958161
12,1024,4,0.0033555
13,1024,4,0.00922544
14,1024,4,0.00934073
15,1024,4,0.00335723
16,1024,4,0.00971466
17,1024,4,0.00958606
18,1024,4,0.00334051
19,1024,4,0.009227
20,1024,4,0.00934733
21,1024,4,0.00334524
22,1024,4,0.00971274
23,1024,4,0.00958072
24,1024,4,0.00335561
25,1024,4,0.00923471
26,1024,4,0.00931903
27,1024,4,0.00336493
28,1024,4,0.00972158
29,1024,4,0.00956981
30,1024,4,0.00334951
31,1024,4,0.00970377
32,1024,4,0.00958582
33,1024,4,0.00336304
34,1024,4,0.00971341
35,1024,4,0.00957381
36,1024,4,0.00335452
37,1024,4,0.00971306
38,1024,4,0.0095725
39,1024,4,0.00333794
40,1024,4,0.00975634
41,1024,4,0.00958489
42,1024,4,0.00335353
43,1024,4,0.00974567
44,1024,4,0.00957346
45,1024,4,0.00334974
46,1024,4,0.00971988
47,1024,4,0.00898017
48,1024,4,0.00318013
49,1024,4,0.00946521
50,1024,4,0.00960444
51,1024,4,0.00336252
52,1024,4,0.00969553
53,1024,4,0.00947829
54,1024,4,0.00346057
55,1024,4,0.00971442
56,1024,4,0.00957466
57,1024,4,0.00333982
58,1024,4,0.00970579
59,1024,4,0.00959092
60,1024,4,0.00335256
61,1024,4,0.00972473
62,1024,4,0.00956758
63,1024,4,0.00328665
64,1024,4,0.00971465
65,1024,4,0.00918644
66,1024,4,0.00308674
67,1024,4,0.00950513
68,1024,4,0.00961317
69,1024,4,0.00334412
70,1024,4,0.00974854
71,1024,4,0.00957239
72,1024,4,0.00328577
73,1024,4,0.00973219
74,1024,4,0.00963968
75,1024,4,0.00335585
76,1024,4,0.00978842
77,1024,4,0.00960417
78,1024,4,0.00332989
79,1024,4,0.00972946
80,1024,4,0.00961678
81,1024,4,0.00334711
82,1024,4,0.00974469
83,1024,4,0.00957049
84,1024,4,0.00334945
85,1024,4,0.00972099
86,1024,4,0.00960017
87,1024,4,0.00336656
88,1024,4,0.00970544
89,1024,4,0.00956197
90,1024,4,0.00330215
91,1024,4,0.0097133
92,1024,4,0.00963363
93,1024,4,0.00330856
94,1024,4,0.00971218
95,1024,4,0.00962864
96,1024,4,0.00334407
97,1024,4,0.0097159
98,1024,4,0.00333314
99,1024,4,0.000189029
0,2048,4,0.000776643
1,2048,4,0.000158615
2,2048,4,0.000220267
3,2048,4,0.000248062
4,2048,4,0.000159942
5,2048,4,0.000141884
6,2048,4,0.000153798
7,2048,4,0.000132072
8,2048,4,0.000132282
9,2048,4,9.19136e-05
10,2048,4,0.000112024
11,2048,4,0.00010811
12,2048,4,0.000106361
13,2048,4,0.000105617
14,2048,4,0.000124378
15,2048,4,0.000165874
16,2048,4,0.000145648
17,2048,4,0.000108528
18,2048,4,0.00010956
19,2048,4,0.000105808
20,2048,4,9.9849e-05
21,2048,4,0.000105161
22,2048,4,0.00012541
23,2048,4,8.34581e-05
24,2048,4,8.09634e-05
25,2048,4,7.77366e-05
26,2048,4,7.96679e-05
27,2048,4,8.50738e-05
28,2048,4,0.00010319
29,2048,4,7.56909e-05
30,2048,4,7.87645e-05
31,2048,4,7.54227e-05
32,2048,4,7.44285e-05
33,2048,4,7.22243e-05
34,2048,4,7.14327e-05
35,2048,4,6.93311e-05
36,2048,4,8.46051e-05
37,2048,4,9.88694e-05
38,2048,4,7.33139e-05
39,2048,4,7.80672e-05
40,2048,4,8.27769e-05
41,2048,4,7.4917e-05
42,2048,4,7.36518e-05
43,2048,4,7.25999e-05
44,2048,4,7.38548e-05
45,2048,4,7.21815e-05
46,2048,4,9.75721e-05
47,2048,4,0.000135714
48,2048,4,0.000114374
49,2048,4,0.000110514
50,2048,4,0.000109762
51,2048,4,0.000104188
52,2048,4,0.000100472
53,2048,4,0.000112721
54,2048,4,0.000131616
55,2048,4,0.000110088
56,2048,4,0.000110379
57,2048,4,0.000100976
58,2048,4,0.000102794
59,2048,4,0.00011751
60,2048,4,0.000131588
61,2048,4,0.00011082
62,2048,4,9.5428e-05
63,2048,4,7.25118e-05
64,2048,4,8.19303e-05
65,2048,4,0.000102146
66,2048,4,0.000100157
67,2048,4,9.88171e-05
68,2048,4,0.000115879
69,2048,4,0.00012158
70,2048,4,8.36656e-05
71,2048,4,0.000103856
72,2048,4,0.000100104
73,2048,4,9.99842e-05
74,2048,4,9.77549e-05
75,2048,4,8.29196e-05
76,2048,4,7.42329e-05
77,2048,4,8.25133e-05
78,2048,4,9.21567e-05
79,2048,4,0.000112743
80,2048,4,9.91598e-05
81,2048,4,8.23736e-05
82,2048,4,0.000103293
83,2048,4,0.000100394
84,2048,4,0.00010439
85,2048,4,0.000106231
86,2048,4,8.58672e-05
87,2048,4,7.01004e-05
88,2048,4,6.99803e-05
89,2048,4,6.9208e-05
90,2048,4,7.04462e-05
91,2048,4,8.37829e-05
92,2048,4,0.000112505
93,2048,4,0.000106757
94,2048,4,0.00010717
95,2048,4,0.000102296
96,2048,4,0.000102233
97,2048,4,0.000102298
98,2048,4,0.000102683
99,2048,4,0.000100998
0,4096,4,0.0247944
